Id,Name,OrganizationFullName,OrganizationAddress,Lat,Lan
f60f5668-cfc3-daf3-ed0f-6a4d469d271b,"Лесозаводское отделение г. Лесозаводск краевого ГАУ Приморского края ""МФЦ""","Лесозаводское отделение г. Лесозаводск краевого ГАУ Приморского края ""МФЦ""","г. Лесозаводск, ул.Литовкая, д.5",45.491730,133.439928
4336edf3-bdf9-6750-dd00-3654ee8d4a5a,"Михайловское отделение c. Михайловка краевого ГАУ Приморского края ""МФЦ""","Михайловское отделение ""МФЦ Приморского края""","Приморский край, Михайловского района, с. Михайловка, квартал 4, д.1а ",43.928953,132.010484
30fba2db-c91d-da2a-a214-e8c36ae6f5fd,"Надеждинское отделение п. Новый краевого ГАУ Приморского края ""МФЦ""","Надеждинское отделение п. Новый краевого ГАУ Приморского края ""МФЦ""","Надеждинский район, п.Новый, ул.Первомайская, д.11а",43.363886,132.022209
f4fb00ed-2da7-d541-562c-dce2ca6bb2bf,"Надеждинское отделение ТОСП п. Раздольное краевого ГАУ Приморского края ""МФЦ""","Надеждинское отделение ТОСП п. Раздольное краевого ГАУ Приморского края ""МФЦ""","Надеждинский район, п.Раздольное, ул.Лазо, д.269",43.538418,131.896102
acbe0e36-e014-2fd6-7f91-d539bcbac5cc,"Надеждинское отделение ТОСП п. Тавричанка краевого ГАУ Приморского края ""МФЦ""","Надеждинское отделение ТОСП п. Тавричанка краевого ГАУ Приморского края ""МФЦ""","Надеждинский район, п.Тавричанка, ул.Осипенко, д.1а",43.325563,131.860240
db164b96-0698-e105-1de7-bb5311c75c8c,"Находкинское отделение г. Находка краевого ГАУ Приморского края ""МФЦ""","Отделение МАУ г. Находка Приморского края ""МФЦ""","г.Находка, ул.Сенявина, д.13, 692909",42.786731,132.854523
b5fb3bd6-acb2-9966-4374-9e9c9a9505d5,"Находкинское отделение ТОСП мкр. Ливадия краевого ГАУ Приморского края ""МФЦ""","Находкинское отделение ТОСП мкр. Ливадия краевого ГАУ Приморского края ""МФЦ""","г.Находка, Ливадия, ул.Заречная, д.1",42.869356,132.675025
8c9e4cb4-abfd-74d8-2118-3e8c33b13eb7,"Находкинское отделение ТОСП ул. Школьная краевого ГАУ Приморского края ""МФЦ""","Находкинское отделение ТОСП ул. Школьная краевого ГАУ Приморского края ""МФЦ""","г.Находка, ул.Школьная, д.18",42.828277,132.890920
0f0a3e62-15e3-0b93-eed4-2ab9c30448d6,"Октябрьское отделение  на ул.Карла Маркса 81, с.Покровка  КГАУ Приморского края ""МФЦ""","Октябрьское отделение  с.Покровка  краевого КГАУ Приморского края ""МФЦ""",с.Покровка ул.Карла Маркса 81,43.945283,131.636873
31187cdd-4d85-795c-0f79-a4a3a036adee,"Ольгинское отделение пгт. Ольга краевого ГАУ Приморского края ""МФЦ""","Ольгинское отделение КГАУ ""МФЦ Приморского края""","п.Ольга, ул. Ленинская, 8",43.742968,135.285370
2527288e-c7b2-bc35-3b4d-327db08a26c4,"Партизанское отделение городского округа г. Партизанск  краевого ГАУ Приморского края ""МФЦ""","Партизанское отделение городского округа г. Партизанск  краевого ГАУ Приморского края ""МФЦ""","Приморский край, г. Партизанск, ул. Аллилуева, д.11б",43.119394,133.118985
fbae0d2e-63f2-c8e2-f6f7-2d6479da4cbf,"Партизанское отделение муниципального района с.  Владимиро-Александровское краевого ГАУ Приморского края ""МФЦ""","Партизанское отделение муниципального района с. Владимиро-Александровское краевого ГАУ Приморского края ""МФЦ""","692962, Приморский край, Партизанский район, с.Владимиро-Александровское, ул. Комсомольская, 25а",42.897098,133.074083
5ca6595c-a840-7968-8bd1-410c0b0e6050,"Пограничное отделение пгт. Пограничный краевого ГАУ Приморского края ""МФЦ""","Пограничное отделение пгт. Пограничный краевого ГАУ Приморского края ""МФЦ""","Пограничный район, пгт. Пограничный, ул. Ленина, 59",44.408462,131.376717
d37b3b8b-d6a9-d5db-ce0d-a22fdd2bb6eb,"Пожарское  отделение пгт. Лучегорск Краевого ГАУ Приморского края ""МФЦ""","Отделение МАУ Пожарского муниципального района Приморского края ""МФЦ"" в пгт. Лучегорск","пгт.Лучегорск, 1 микрорайон,  23",46.448615,134.299290
11ff6866-aaf4-d26a-e456-90ee4800a28b,"Спасское отделение г. Спасск-Дальний краевого ГАУ Приморского края ""МФЦ""","Спасское отделение КГАУ ""МФЦ Приморского края""","г. Спасск-Дальний, ул. Советская, 64",44.550267,132.856862
39cf227d-e788-b995-12a0-99f67ae14503,"Спасское отделение ТОСП с. Спасское краевого ГАУ Приморского края ""МФЦ""","Спасское отделение ТОСП с. Спасское КГАУ ""МФЦ Приморского края""","с. Спасское, ул Ханкайская, 46",44.616960,132.799568
